,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two,position_id
David_Nofoaluma_Tigers,459,16,135,2,Winger,80.0,4,1,0,0,0,,0,49,21,226,89,61,0,0,0,0,2,2,16,3.49,0,0,0,3,1,4,26,0.19,0.8,8,1,1,0,1,1,10,0,0,1,0,0,0,0,0,0,0,0,0,0,80.0,,2
Esan_Marsters_Tigers,461,16,135,3,Centre,80.0,8,0,3,3,1,1.0,0,33,19,163,0,65,0,0,0,0,1,1,16,3.89,2,23,0,2,3,6,23,0.32,0.727,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,3
Kevin_Naiqama_Tigers,522,16,135,4,Centre,80.0,0,0,0,0,0,,0,31,11,89,0,26,0,0,0,0,4,0,9,3.45,0,0,0,0,1,4,17,0.36,0.852,23,2,2,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,80.0,,3
Corey_Thompson_Tigers,458,16,135,5,Winger,80.0,4,1,0,0,0,,0,23,7,59,0,12,0,0,0,0,4,0,6,4.18,2,22,0,0,0,6,13,0.86,0.444,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,2
Benji_Marshall_Tigers,457,16,135,6,Five-Eighth,80.0,0,0,0,0,0,,0,38,5,26,0,2,0,0,0,0,2,0,0,,1,7,0,1,3,31,47,6.2,0.619,13,3,5,0,0,14,426,1,4,2,0,0,0,1,1,0,0,0,0,0,80.0,,4
Luke_Brooks_Tigers,464,16,135,7,Halfback,80.0,4,1,0,0,0,,0,48,9,78,0,11,1,0,0,0,3,0,4,4.35,0,0,0,1,4,37,48,4.11,0.783,18,4,1,0,0,5,83,2,0,4,0,0,0,0,0,0,0,0,0,0,80.0,,5
Russell_Packer_Tigers,453,16,135,8,Prop,42.0,0,0,0,0,0,,0,26,12,94,13,44,0,0,0,0,0,11,12,3.67,0,0,0,0,1,0,12,0,0.781,25,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.46,19.45,6
Robbie_Farah_Tigers,451,16,135,9,Hooker,80.0,0,0,0,0,0,,0,73,12,71,0,11,1,2,2,0,1,1,2,4.32,9,55,0,0,9,123,133,10.25,0.906,48,3,2,0,0,5,140,1,0,2,0,0,0,2,2,0,1,0,0,0,80.0,,7
Ben_Matulino_Tigers,440,16,135,10,Prop,40.0,0,0,0,0,0,,0,28,11,87,19,36,0,0,0,0,2,9,10,4.04,0,0,0,1,1,1,12,0.09,0.857,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.05,19.36,6
Chris_Lawrence_Tigers,441,16,135,11,2nd Row,63.0,0,0,0,0,0,,0,32,11,89,0,38,0,0,0,0,0,11,10,3.34,0,0,0,0,0,4,16,0.36,0.882,30,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,63.04,,8
Josh_Aloiai_Tigers,569,16,135,12,2nd Row,29.0,0,0,0,0,0,,0,21,5,44,10,17,0,0,0,0,2,4,4,3.61,0,0,0,0,0,0,6,0,0.813,13,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,25.47,22.31,8
Elijah_Taylor_Tigers,443,16,135,13,Lock,57.0,0,0,0,0,0,,0,43,11,99,0,36,0,0,0,0,2,10,10,3.94,0,0,0,0,4,7,17,0.64,0.833,40,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.29,,9
