,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two,position_id
Boyd_Cordner_Roosters,409,15,241,11,2nd Row,80.0,0,0,0,0,0,,0,52,16,159,0,52,0,1,0,0,3,15,14,3.01,0,0,0,1,0,4,20,0.25,0.919,34,3,0,0,0,1,15,0,0,1,0,0,1,0,0,0,2,0,0,0,80.0,,8
Angus_Crichton_Roosters,408,15,241,12,2nd Row,74.0,4,1,0,0,0,,0,59,12,99,0,27,1,0,0,0,2,12,9,3.32,0,0,0,1,1,1,15,0.08,0.9,36,2,2,0,0,1,14,0,0,1,0,0,1,1,1,0,0,0,0,0,73.32,,8
Victor_Radley_Roosters,423,15,241,13,Lock,47.0,0,0,0,0,0,,0,19,7,59,0,16,0,0,0,0,0,5,6,4.09,1,14,0,0,0,29,35,4.14,0.909,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29.55,17.04,9
Mitchell_Aubusson_Roosters,417,15,241,3,Interchange,27.0,0,0,0,0,0,,0,13,2,19,0,5,0,0,0,0,0,2,2,3.1,0,0,0,0,0,2,4,1,0.889,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,,10
Nat_Butcher_Roosters,418,15,241,14,Interchange,30.0,0,0,0,0,0,,0,27,6,61,0,21,0,0,0,0,1,6,6,2.77,0,0,0,0,1,2,8,0.33,0.952,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.31,,10
Zane_Tetevano_Roosters,424,15,241,15,Interchange,28.0,0,0,0,0,0,,0,20,7,76,15,18,0,0,0,0,0,6,8,3.4,0,0,0,0,0,3,11,0.43,0.944,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28.28,,10
Sitili_Tupouniua_Roosters,422,15,241,16,Interchange,23.0,0,0,0,0,0,,0,15,5,47,0,12,0,0,0,0,0,5,4,3.9,0,0,0,0,0,0,5,0,0.867,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.04,,10
Matthew_Dufty_Dragons,385,14,241,1,Fullback,80.0,4,1,0,0,0,,0,54,14,190,62,21,1,0,0,0,7,0,9,3.08,0,0,0,0,0,4,17,0.29,0.857,6,1,0,0,4,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,80.0,,1
Jordan_Pereira_Dragons,383,14,241,2,Winger,80.0,0,0,0,0,0,,0,35,15,121,15,21,1,0,0,0,4,0,14,3.14,1,9,0,0,0,2,19,0.13,1.0,5,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,80.0,,2
Euan_Aitken_Dragons,378,14,241,3,Centre,80.0,0,0,0,0,0,,0,29,12,97,0,29,0,1,1,0,2,1,8,2.78,1,11,0,0,0,4,11,0.33,0.786,11,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,80.0,,3
Timoteo_Lafai_Dragons,388,14,241,4,Centre,80.0,0,0,0,0,0,,0,29,10,111,0,21,0,0,0,0,0,0,7,3.1,2,19,0,2,0,3,10,0.3,0.941,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,3
Zac_Lomax_Dragons,389,14,241,15,Winger,80.0,6,1,1,2,0,0.5,0,25,12,86,0,20,1,0,0,0,0,2,11,3.66,1,5,0,0,1,5,18,0.42,0.6,6,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,80.0,,2
Corey_Norman_Dragons,1630,14,241,6,Five-Eighth,80.0,0,0,0,0,0,,0,32,12,86,0,9,0,0,0,0,0,0,3,2.95,0,0,0,0,4,27,44,2.25,0.818,18,3,1,0,1,13,341,0,4,1,0,2,0,1,0,0,2,0,0,0,80.0,,4
Ben_Hunt_Dragons,376,14,241,7,Halfback,67.0,0,0,0,0,0,,0,16,6,33,0,3,0,0,0,0,1,0,1,3.4,1,12,0,1,3,21,30,3.5,0.739,17,4,2,1,0,4,150,0,2,0,0,0,0,3,2,0,1,0,0,0,67.07,,5
James_Graham_Dragons,396,14,241,8,Prop,52.0,0,0,0,0,0,,0,44,8,58,0,12,0,1,0,0,1,5,5,3.32,0,0,0,0,1,12,17,1.5,0.894,42,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.06,22.59,6
Cameron_Mcinnes_Dragons,391,14,241,9,Hooker,80.0,0,0,0,0,0,,0,57,4,53,0,7,0,0,0,0,2,0,4,3.47,4,53,0,0,1,96,101,24,0.945,52,1,2,0,0,1,5,0,0,1,0,0,0,0,0,0,2,0,0,0,80.0,,7
Paul_Vaughan_Dragons,404,14,241,10,Prop,43.0,0,0,0,0,0,,0,36,8,108,0,27,1,0,0,0,0,8,8,3.36,0,0,0,0,0,0,8,0,0.848,28,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.06,15.36,6
Tyson_Frizell_Dragons,407,14,241,11,2nd Row,57.0,0,0,0,0,0,,0,55,11,120,0,34,0,0,0,0,2,10,11,2.8,1,9,0,0,0,1,12,0.09,0.975,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.27,27.55,8
Tariq_Sims_Dragons,406,14,241,12,2nd Row,80.0,0,0,0,0,0,,0,46,11,115,0,39,0,0,0,0,3,11,11,2.85,0,0,0,1,0,1,15,0.09,0.9,36,4,0,1,0,1,18,0,0,1,0,0,0,2,2,0,0,0,0,0,80.0,,8
Jacob_Host_Dragons,395,14,241,16,Lock,80.0,0,0,0,0,0,,0,41,10,80,0,24,0,0,0,0,1,10,10,3.48,0,0,0,0,0,2,13,0.2,0.83,39,6,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80.0,,9
Mikaele_Ravalawa_Dragons,386,14,241,5,Interchange,13.0,0,0,0,0,0,,0,3,4,38,0,2,0,1,0,0,0,0,2,3.74,1,8,0,0,0,1,4,0.25,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13.0,,10
Blake_Lawrie_Dragons,390,14,241,13,Interchange,35.0,0,0,0,0,0,,0,41,7,69,42,13,0,0,0,0,0,4,7,3.91,0,0,0,0,0,4,11,0.57,0.972,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.56,,10
Jeremy_Latimore_Dragons,397,14,241,14,Interchange,23.0,0,0,0,0,0,,0,18,5,36,0,8,0,0,0,0,0,5,5,3.01,0,0,0,0,0,0,5,0,0.895,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,,10
